nu_ano_censo;co_ies;no_ies
2022;385;UNIVERSIDADE SALVADOR
2022;387;UNIVERSIDADE CATÓLICA DOM BOSCO
2022;398;UNIVERSIDADE TIRADENTES
2022;403;UNIVERSIDADE CATÓLICA DE BRASÍLIA
2022;415;FACULDADE DE CIÊNCIAS MÉDICAS DA SANTA CASA SÃO PAULO
2022;416;FACULDADE DE SÃO PAULO
2022;417;UNIVERSIDADE CIDADE DE SÃO PAULO
2022;420;UNIVERSIDADE DE MARÍLIA
2022;430;CENTRO UNIVERSITÁRIO FILADÉLFIA
2022;431;FACULDADE DE MEDICINA DE MARÍLIA
2022;434;FACULDADE SANTA MARCELINA
2022;437;UNIVERSIDADE PARANAENSE
2022;438;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE ITUVERAVA
2022;439;FACULDADE DOUTOR FRANCISCO MAEDA
2022;440;FACULDADE DE DIREITO DE ITÚ
2022;448;CENTRO UNIVERSITÁRIO RITTER DOS REIS
2022;449;UNIVERSIDADE LUTERANA DO BRASIL
2022;456;CENTRO UNIVERSITÁRIO SANT¿ANNA
2022;457;UNIVERSIDADE ANHANGUERA DE SÃO PAULO
2022;458;UNIVERSIDADE IBIRAPUERA
2022;461;CENTRO UNIVERSITÁRIO ARMANDO ALVARES PENTEADO
2022;466;UNIVERSIDADE ANHEMBI MORUMBI
2020;472;UNIVERSIDADE DO GRANDE RIO PROFESSOR JOSÉ DE SOUZA HERDY
2022;481;Universidade Universus Veritas Guarulhos
2022;483;CENTRO UNIVERSITÁRIO METROPOLITANO DE SÃO PAULO
2022;491;CENTRO UNIVERSITÁRIO DON DOMÊNICO
2021;492;FACULDADE DE ADMINISTRAÇÃO CIÊNCIAS ECON E CONTÁBEIS DE GUARATINGUETÁ
2022;493;FACULDADE DE EDUCAÇÃO DE GUARATINGUETÁ
2022;494;UNIVERSIDADE DO SUL DE SANTA CATARINA
2022;495;FACULDADE DE CIÊNCIAS E LETRAS DE BRAGANÇA PAULISTA
2022;496;UNIVERSIDADE DE FRANCA
2022;502;CENTRO UNIVERSITÁRIO SÃO JUDAS TADEU
2022;515;Centro Universitário Anhanguera Pitágoras Unopar de Niterói
2022;517;FACULDADE DE EDUCAÇÃO SÃO LUÍS
2022;521;UNIVERSIDADE DE MOGI DAS CRUZES
2022;522;CENTRO UNIVERSITÁRIO CELSO LISBOA
2022;526;CENTRO UNIVERSITÁRIO BRAZ CUBAS
2022;533;FACULDADES INTEGRADAS DE ITAPETININGA
2022;546;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO
2022;576;UNIVERSIDADE FEDERAL DE JUIZ DE FORA
2022;591;UNIVERSIDADE FEDERAL DE SÃO PAULO
2022;595;UNIVERSIDADE FEDERAL DE ALFENAS
2022;597;UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO
2022;598;UNIVERSIDADE FEDERAL DE ITAJUBÁ - UNIFEI
2022;602;INSTITUTO TECNOLÓGICO DE AERONÁUTICA
2022;605;UNIVERSIDADE MUNICIPAL DE SÃO CAETANO DO SUL
2022;608;"""""""ESCOLA SUPERIOR DE CRUZEIRO """"""""PREFEITO HAMILTON VIEIRA MENDES"""""""""""""""
2021;625;FACULDADE CENECISTA DE CAPIVARI
2022;636;ESCOLA SUPERIOR DE PROPAGANDA E MARKETING
2019;637;FACULDADE DE ENGENHARIA SÃO PAULO
2022;641;UNIVERSIDADE LA SALLE
2022;652;Centro Universitário Santa Cecília
2021;663;UNIVERSIDADE SALGADO DE OLIVEIRA
2022;664;UNIVERSIDADE VILA VELHA
2022;665;UNIVERSIDADE DE TAUBATÉ
2022;670;UNIVERSIDADE SÃO FRANCISCO
2022;671;UNIVERSIDADE ANHANGUERA
2022;672;CENTRO UNIVERSITÁRIO FACENS
