nu_ano_censo;co_ies;no_ies
2021;3371;CENTRO UNIVERSITÁRIO DE PATOS DE MINAS
2022;3376;FACULDADE DE TEOLOGIA INTEGRADA
2019;3400;FACULDADE DE PENÁPOLIS
2022;3428;FACULDADE ALFA AMÉRICA
2022;3432;FACULDADES INTEGRADAS DE CIÊNCIAS HUMANAS, SAÚDE E EDUCAÇÃO DE GUARULHOS
2022;3436;Faculdade de Araraquara
2022;3456;FACULDADE POLITÉCNICA DE CAMPINAS
2022;3513;FACULDADE DE PRESIDENTE VENCESLAU
2022;3529;CENTRO UNIVERSITÁRIO EURÍPEDES DE MARÍLIA
2022;3533;FACULDADE CERES
2022;3602;CENTRO UNIVERSITÁRIO AUTÔNOMO DO BRASIL
2022;3603;FACULDADE ANHANGUERA DE GUARULHOS
2022;3612;FACULDADE ANHANGUERA DE VALINHOS
2022;3618;FACULDADE LUSÓFONA DE SÃO PAULO
2022;3641;CENTRO UNIVERSITÁRIO DA FUNDAÇÃO EDUCACIONAL DE BARRETOS
2022;3649;CENTRO UNIVERSITÁRIO CIDADE VERDE
2022;3692;FACULDADE DE TECNOLOGIA IPEP DE CAMPINAS
2022;3710;ESCOLA SUPERIOR NACIONAL DE SEGUROS
2020;3743;FACULDADE DE JACAREÍ
2022;3746;FACULDADE IBRA DA GRANDE SÃO PAULO
2019;3753;FACULDADES INTEGRADAS DOM PEDRO II
2022;3770;FACULDADE TEOLÓGICA BATISTA DE SÃO PAULO
2019;3775;INSTITUTO UVB.BR
2022;3779;FACULDADE ESTÁCIO DE SANTO ANDRÉ
2022;3797;CENTRO UNIVERSITÁRIO GUAIRACÁ
2022;3837;FACULDADE EVOLUÇÃO
2022;3840;CENTRO UNIVERSITÁRIO FACVEST
2022;3876;Faculdade Unyleya
2022;3896;Faculdade Paulista de Comunicação
2022;3933;FACULDADE MÉTODO DE SÃO PAULO
2022;3936;FACULDADE ANHANGUERA DE LIMEIRA
2022;3937;Faculdade Anhanguera de Indaiatuba
2022;3940;FACULDADE DE ENSINO SUPERIOR SANTA BARBARA
2022;3978;FACULDADE DE TECNOLOGIA PENTÁGONO
2022;3985;CENTRO UNIVERSITÁRIO SENAC
2022;4000;FACULDADE DE ENSINO SUPERIOR DO INTERIOR PAULISTA
2022;4007;FATECE - FACULDADE DE TECNOLOGIA, CIÊNCIAS E EDUCAÇÃO
2022;4013;FACULDADE ANHANGUERA DE RIO CLARO
2023;4016;INSTITUTO NACIONAL DE EDUCAÇÃO DE SURDOS
2022;4017;CENTRO UNIVERSITÁRIO PADRE ANCHIETA
2022;4020;FACULDADE DE TECNOLOGIA DE BOTUCATU
2022;4021;FACULDADE DE TECNOLOGIA DE GARÇA
2022;4022;FACULDADE DE TECNOLOGIA DE JUNDIAÍ
2022;4023;FACULDADE DE TECNOLOGIA DE MAUÁ
2022;4024;FACULDADE DE TECNOLOGIA DE MOCOCA
2022;4025;FACULDADE DE TECNOLOGIA DE SÃO JOSÉ DO RIO PRETO
2022;4026;FACULDADE DE TECNOLOGIA ZONA LESTE
2022;4029;FACULDADE DE SANTA BÁRBARA D'OESTE
2020;4043;FACULDADE TECNOLOGIA EDUVALE - AVARÉ
2022;4059;FACULDADE DE SAÚDE, CIÊNCIAS E TECNOLOGIA - FACESB
2022;4086;FACULDADE DE TECNOLOGIA JARDIM
2022;4090;FACULDADE DE ROSEIRA
2022;4093;Centro Universitário de Tecnologia de Curitiba
2022;4104;ESCOLA SUPERIOR DE ENGENHARIA E GESTÃO DE SÃO PAULO - ESEG
2022;4138;FACULDADE ANHANGUERA DE SANTA BÁRBARA
2022;4141;FACULDADE ANHANGUERA DE TAUBATÉ
2022;4150;FACULDADE DE TECNOLOGIA DE PIRACICABA
2023;4153;CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DERBY
2022;4169;Faculdade Estácio de Carapicuíba
2022;4185;FACULDADE PERUIBE
2022;4211;Faculdade ESAMC São Paulo - ESAMC
2021;4293;FACULDADE DE TIETÊ
2023;4330;FACULDADE EFICAZ
2022;4357;FACULDADE QUALITTAS
2023;4358;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SUL DE MINAS GERAIS
2019;4442;ESCOLA SUPERIOR PAULISTA DE ADMINISTRAÇÃO - ESPA
2022;4492;FACULDADE PASCHOAL DANTAS
2022;4522;CENTRO UNIVERSITÁRIO CATÓLICO SALESIANO AUXILIUM
2022;4596;FACULDADE REGES DE RIBEIRÃO PRETO
2022;4597;FACULDADE FUTURA
2019;4629;Faculdade Innovare
2022;4652;FACULDADE ANHANGÜERA DE SÃO JOSÉ
2022;4655;FACULDADE ANHANGÜERA DE SOROCABA
2022;4656;FACULDADE ANHANGÜERA DE PIRACICABA
2022;4661;FACULDADE UNIBF
2020;4681;FACULDADE CENTRO PAULISTANO
2022;4724;FACULDADE DE CIÊNCIAS HUMANAS DO ESTADO DE SÃO PAULO
2022;4731;FACULDADE MESSIANICA
2022;4751;CENTRO UNIVERSITÁRIO UNIFATECIE
2023;4793;Faculdades Integradas Vale do Rio Verde
2022;4814;FACULDADE DE TECNOLOGIA SENAI FELIX GUISARD
2022;4815;FACULDADE DE TECNOLOGIA SENAI NADIR DIAS DE FIGUEIREDO
2021;4817;FACULDADE DE TECNOLOGIA SENAI ANCHIETA
2021;4819;FACULDADE DE TECNOLOGIA SENAI MARIANO FERRAZ
2022;4820;FACULDADE DE TECNOLOGIA SENAI ANTÔNIO ADOLPHO LOBBE
2022;4821;FACULDADE PROMINAS DE MONTES CLAROS
2022;4826;FACULDADE ANHANGÜERA DE CAMPINAS
2022;4829;ESCOLA SUPERIOR DE ARTES CÉLIA HELENA
2020;4873;FACULDADE IBRA DE TAUBATÉ
2022;4878;FACULDADE ANHANGUERA DE ITAPECERICA DA SERRA
2022;4889;FACULDADE CONECTADA FACONNECT
2019;4917;FACULDADE ANGLO
2022;4925;FUNDAÇÃO UNIVERSIDADE FEDERAL DO ABC
2022;4926;FACULDADE DE TECNOLOGIA DE PRAIA GRANDE
2022;4943;STRONG BUSINESS SCHOOL BS
2022;4983;FACULDADE IBRA DE TECNOLOGIA
2022;4995;Faculdade Educamais
2022;5025;Faculdade Unina
2022;5045;FACULDADE DE TECNOLOGIA PAULISTA
2022;5046;FACULDADE POLIS DAS ARTES
2022;5048;FACULDADE DE TEOLOGIA DE SÃO PAULO DA IGREJA PRESBITERIANA INDEPENDENTE DO BRASIL
2022;5099;FACULDADE DE TECNOLOGIA DE SÃO BERNARDO DO CAMPO
2022;5105;Centro Universitário Internacional Signorelli
2022;5215;CENTRO UNIVERSITÁRIO PADRE ALBINO
2019;5216;FACULDADE ANHANGUERA DE EDUCAÇÃO, CIÊNCIAS E TECNOLOGIA DE SOROCABA
2021;5217;FACULDADES INTEGRADAS PAULISTA
2022;5288;FACULDADE ANHANGÜERA DE RIBEIRÃO PRETO
2022;5312;Centro Universitário UNIFAAT
2022;5387;FACULDADE IMPACTA
2022;5451;FACULDADE ANHANGÜERA DE BAURU
2022;5555;FACULDADE ANHANGUERA DE JACAREÍ
2022;5627;FACULDADE DE TECNOLOGIA DE PRESIDENTE PRUDENTE
2022;5633;FACULDADE DE TECNOLOGIA DE BRAGANÇA PAULISTA
2022;5669;CENTRO UNIVERSITÁRIO ETEP
2023;10323;Faculdade São Paulo Tech School
2022;10385;INSTITUTO SÃO PAULO DE ESTUDOS SUPERIORES
2022;11289;ESCOLA SUPERIOR NACIONAL DE SEGUROS DE SÃO PAULO
2022;11308;FACULDADE ANHANGUERA DE SUMARÉ
2022;11586;FACULDADES NETWORK - CAMPUS SUMARÉ
2020;11750;FACULDADE ANHANGUERA PITÁGORAS VOTORANTIM
2022;11807;Istituto Europeo di Design
2022;12522;FACULDADE MOGIANA DO ESTADO DE SÃO PAULO
2022;12611;FACULDADE DE MÚSICA SOUZA LIMA
2022;12661;FACULDADE DE TECNOLOGIA SAINT PAUL
2022;12723;FACULDADE FINACI
2022;12791;FACULDADE ANHANGUERA DE PINDAMONHANGABA
2022;12817;FACULDADE IMESP MONITOR
2020;12923;FACULDADE DE TECNOLOGIA IPANEMA
2023;13073;FACULDADE DE TECNOLOGIA AEROTD
2022;13481;FACULDADES INTEGRADAS RIO BRANCO GRANJA VIANNA
2022;13488;FACULDADE SEQÜENCIAL
2022;13527;FACULDADE CANÇÃO NOVA
2022;13631;Faculdade de Ciências, Educação, Saúde, Pesquisa e Gestão
2022;13752;FACULDADE DOM RICARDO
2022;13796;FACULDADE DE PORTO FELIZ
2022;13812;ESCOLA SUPERIOR ABERTA DO BRASIL
2022;13845;Escola DIEESE de Ciências do Trabalho
2020;13938;FACULDADE DE MARÍLIA
2022;14069;FACULDADE DE TECNOLOGIA PORTO SUL
2023;14161;Faculdade Única de Contagem
2022;14194;FATEC - FACULDADE DE TEOLOGIA E CIÊNCIAS DE VOTUPORANGA
2022;14401;FACULDADE DE TECNOLOGIA PORTO DAS MONÇÕES
2021;14609;FACULDADE DE TECNOLOGIA SENAI CONDE JOSÉ VICENTE DE AZEVEDO
2022;14715;Centro Universitário Piaget
2022;14727;FACULDADE PROGRESSO
2022;14858;FACULDADE DE TECNOLOGIA FRANCISCO MORATO
2019;14878;TREVISAN ESCOLA SUPERIOR DE NEGÓCIOS-
2022;14879;FACULDADE DOURADO
2022;14890;FACULDADE PRAIA GRANDE
2022;14892;FACULDADE DE CIÊNCIAS DA SAÚDE DE BARRETOS DR. PAULO PRATA
2022;14969;FACULDADE DE TECNOLOGIA EM SAÚDE
2022;15401;Faculdade FIPECAFI
2022;15450;Faculdade Única de Ipatinga
2021;15501;Faculdade de Tecnologia SENAI Roberto Simonsen
2021;15502;Faculdade de Tecnologia SENAI Suiço-Brasileira Paulo Ernesto Tolle
2021;15521;FACULDADE CATÓLICA DE SÃO JOSÉ DOS CAMPOS
2022;15576;Faculdade de Tecnologia de Mogi das Cruzes
2022;15581;Faculdade de Tecnologia de São José dos Campos - Jessen Vidal
2022;15585;Faculdade de Tecnologia Santo André
2022;15639;Faculdade de Tecnologia de Itaquaquecetuba
2022;15680;Fatec Cruzeiro - Prof. Waldomiro May
2022;15682;Faculdade de Tecnologia de Piracicaba
2022;15687;Faculdade de Tecnologia de Pindamonhangaba
2022;15688;FACULDADE DE TECONOLOGIA DA ZONA SUL
2022;15689;Faculdade de Tecnologia de Bauru
2022;15693;Faculdade de Tecnologia de Itapetininga - Prof.Antônio Belizandro Barbosa Rezende
2022;15695;Faculdade de Tecnologia Dom Amaury Castanho
2022;15696;Faculdade de Tecnologia de Sertãozinho
2022;15697;Faculdade de Tecnologia de Araçatuba
2022;15704;Faculdade de Tecnologia de Capão Bonito
2022;15708;Faculdade de Tecnologia Dr. Thomaz Novelino
2022;15709;Faculdade de Tecnologia de Osasco - Prefeito Hirant Sanazar
2022;15714;Fatec Arthur Azevedo - Mogi Mirim
2022;15715;FACULDADE DE TECNOLOGIA PROFESSOR ANTÔNIO SEABRA
2022;15745;Faculdade de Tecnologia de São Caetano do Sul
2022;15746;Faculdade de Tecnologia do Ipiranga
2022;15752;Faculdade de Tecnologia de Guarulhos
2022;15753;FACULDADE DE TECNOLOGIA NILO DE STÉFANI - JABOTICABAL
2022;15757;Faculdade de Tecnologia de Barueri
2022;15769;Faculdade de Tecnologia de Jales
2022;15784;Faculdade de Tecnologia Estudante Rafael Almeida Camarinha - Marilia
2022;15793;Faculdade de Tecnologia de São Sebastião
2022;15803;FACULDADE DE TECNOLOGIA DE TATUÍ - PROF. WILSON ROBERTO RIBEIRO DE CAMARGO
2022;15859;Faculdade Católica Paulista
2021;15873;Faculdade Itaquá
2022;15922;Faculdade FABAD
2022;16194;Faculdade Gran Tietê
2022;16395;Faculdade de Tecnologia de Carapicuiba
2022;16410;Faculdade de Tecnologia de Catanduva
2023;16502;FACULDADE AETOS
2022;16543;Faculdade Metropolitana do Estado de São Paulo
2022;16864;Faculdade Cultura Inglesa
2020;16901;INSTITUTO EDUCATIE
2022;16934;Faculdade Méliès
2019;16948;Faculdade 28 de Agosto de Ensino e Pesquisa
2022;17014;CENTRO SUPERIOR DE ESTUDOS JURÍDICOS CARLOS DRUMMOND DE ANDRADE
2022;17348;Faculdade Alis de Itabirito
2022;17355;Faculdade de Educação em Ciências da Saúde
2022;17401;Faculdade de Tecnologia CNA
2021;17516;Faculdade de Tecnologia do SENAI Horácio Augusto da Silveira
2022;17593;Faculdade de Botucatu
2022;17598;FACULDADE PROF. WLADEMIR DOS SANTOS
2022;17608;Faculdade de Educação Paulistana
2022;17662;Faculdade Galileu
2022;17672;Instituto Brasileiro de Ensino, Desenvolvimento e Pesquisa de São Paulo
2022;17690;FACULDADE DE TECNOLOGIA SENAI ROBERTO MANGE
2022;17691;FACULDADE DE TECNOLOGIA SENAI GASPAR RICARDO JUNIOR
2022;17731;FACULDADE SESI-SP DE EDUCAÇÃO
2020;17803;Faculdade Estácio de Rio Preto
2022;17839;FACULDADE DE DRACENA
2022;17854;Centro Universitário Unifecaf
2022;17887;Faculdade de Ciências Médicas de São José dos Campos
2022;17902;FACULDADE ESAMC JUNDIAÍ
2022;17926;Faculdade de Ensino Superior Paschoal Dantas
2022;17928;Faculdade Aliança Educacional do Estado de São Paulo
2022;17942;Faculdade de Tecnologia do Tatuapé
2022;17952;Faculdade de Tecnologia de Jacareí
2022;17953;Faculdade de Tecnologia de Pompeia - Shunji Nishimura
2022;17977;Faculdade de Tecnologia de Itaquera
2022;18019;Faculdade do Educador
2020;18033;FACULDADE DE TEODORO SAMPAIO
2022;18035;Escola Brasileira de Medicina Chinesa
2022;18049;Faculdade de Tecnologia de Taubaté
2021;18066;Faculdade de Ciências e Tecnologia Paschoal Dantas
2022;18072;Faculdade de Direito TECH de São Paulo
2022;18099;Faculdade de Tecnologia de Diadema Luigi Papaiz
2022;18165;Fundação Universidade Virtual do Estado de São Paulo
2022;18258;FACULDADE UNIFICADA DO ESTADO DE SÃO PAULO
2022;18288;Faculdade Latino-americana
2023;18372;Faculdade Unibras - Prudente
2022;18463;Faculdade UniFAHE
2022;18526;FACULDADE DE OSASCO
2022;18667;FACULDADE SANTO ANTÔNIO
2022;18696;FACULDADE DYNAMUS DE CAMPINAS
2022;18698;INSTITUTO RACINE DE EDUCAÇÃO SUPERIOR
2022;18711;FACULDADE INOVA MAIS DE SÃO PAULO
2022;18734;Faculdade de Martinópolis
2022;18817;Faculdade de Tecnologia de São Roque
2022;18952;Faculdade FAMART
2022;19210;Faculdades Integradas de Taguaí
2022;19252;FACULDADE DE TECNOLOGIA ALPHA CHANNEL
2022;19325;Faculdade do Centro Oeste Paulista
2020;19352;Faculdade Paulista de Gestão e Saúde
2022;19500;Faculdade de Tecnologia de São Carlos
2022;19501;Faculdade de Tecnologia Sebrae
2022;19578;Faculdade de Tecnologia de Cotia
2022;19586;FACULDADE UNITÀ
2022;19739;Faculdade de Tecnologia de Campinas
2021;19823;Faculdade Porto União
2022;19861;Faculdade de Santana de Parnaíba
2022;19862;Faculdade de Tecnologia Jorge Caram Sabbag
2022;19863;Faculdade de Tecnologia de Assis
2022;19864;Faculdade de Tecnologia de Itapira
2022;19879;Faculdade IPESSP
2022;19883;Faculdade Sul Paulista de Itanhaém
2022;20053;FACULDADE UNIMED
2022;20098;Faculdade Integração
2022;20328;FACULDADE DE ODONTOLOGIA DA APCD
2022;20340;FACULDADE PAULISTA DE CIÊNCIAS DA SAÚDE
2020;20406;Faculdade Jaguar Indaiá
2022;20465;Faculdade de Agronegócios de Holambra
2022;20476;Faculdade ANCLIVEPA
2022;20478;Faculdade de Tecnologia de Santana de Parnaíba
2022;20497;FACULDADE ROBERTO MIRANDA
2022;20530;Faculdade Marquês de Olinda
2022;20586;Faculdade Van Gogh
2022;21204;FACULDADE UNITERP
2022;21224;FACULDADE INTERNACIONAL CIDADE VIVA
2022;21238;Faculdade Anhanguera de São José do Rio Preto
2022;21239;Faculdade Anhanguera de Jaú
2022;21344;FACULDADE UNICPO
2022;21416;Centro de Instrução de Aviação do Exército
2021;21431;Faculdade IBECO
2022;21502;FACULDADES INTEGRADAS POTENCIAL
2020;21540;FACULDADE FREIRE DE ENSINO
2022;21554;Faculdade Anhanguera de Itapeva
2022;21573;Faculdade Ana Carolina Puga
2022;21638;Faculdade PECEGE
2022;21643;Faculdade Rudolf Steiner
2022;21654;Faculdade de Engenharia e Agrimensura de São Paulo
2022;21693;Faculdade Anhanguera Franca
2022;21713;Faculdade de Tecnologia - Fatec de Ribeirão Preto
2022;21757;Fasul Educacional EaD
2022;21764;Faculdade de Ciências da Saúde IGESP
2022;21822;FACULDADE FAVENI GUARULHOS
2022;21826;Faculdade Sebrae
2021;21833;Faculdade Anhanguera de Mogi Guaçu
2021;21834;Faculdade Anhanguera de Marilia
2022;21876;EJ - Faculdade de Tecnologia em Aviação Civil
2022;21900;Faculdade Anhanguera de Catanduva
2019;21924;Faculdade Anhanguera de Assis
2023;21928;FACULDADE GRAU S ENSINO SUPERIOR
2022;21940;Faculdade Phorte de Educação e Tecnologia
2022;21952;FGV / Escola de Relações Internacionais
2022;22021;FACULDADE SÃO PAULO DE PRESIDENTE VENCESLAU
2022;22028;Faculdade CTA
2022;22084;Faculdade FACUMINAS de Pós-Graduação EAD
2022;22096;FACULDADE SÃO LEOPOLDO MANDIC DE ARARAS
2019;22143;Faculdade de Ciências Jurídicas de São José do Rio Preto
2020;22146;Faculdade de Ciências Jurídicas de Jaú
2019;22149;Faculdade de Ciências Jurídicas de Franca
2019;22169;Faculdade de Ciências Jurídicas de Marília
2019;22170;Faculdade de Ciências Jurídicas de Mogi Guaçu
2022;22175;Faculdade  São Joaquim da Barra
2022;22176;Faculdade ENAU
2022;22177;Faculdade União Paulistana
2019;22228;Faculdade de Ciências Jurídicas de Catanduva
2019;22229;Faculdade de Ciências Jurídicas de Itapeva
2022;22237;Faculdade de Ciências Jurídicas de Assis
2022;22263;FACULDADE VANGUARDA
2022;22266;Instituto de Desenvolvimento Tecnológico da FGV
2022;22312;FACULDADE NOVE DE JULHO DE OSASCO
2022;22313;FACULDADE NOVE DE JULHO DE BAURU
2022;22314;FACULDADE NOVE DE JULHO GUARULHOS
2022;22316;FACULDADE NOVE DE JULHO MAUÁ
2022;22319;Faculdade de Tecnologia de Itatiba
2022;22452;FACULDADE ATITUDE DE EDUCAÇÃO CONTINUADA
2023;22455;Faculdade Líbano
2022;22527;Faculdade Cleber Leite
2022;22578;FACULDADE CENSUPEG
2022;22603;FACULDADE ANCLIVEPA DE GESTÃO E HUMANOLOGIA
2023;22605;Faculdade Anclivepa São Paulo
2022;22606;Faculdade Damásio
2022;22625;FACULDADE BOOKPLAY
2023;22627;Faculdade Abrange ABC
2022;22651;Instituto de Tecnologia e Liderança
2023;22659;Faculdade Harven Agribusiness School
2022;22716;FACULDADE PITÁGORAS DE PENÁPOLIS
2022;22760;Faculdade Fleming Cerquilho
2023;22769;Gaia
2023;22771;FACULDADE CRISTO REI
2022;22814;Faculdade Auden Educacional
2022;22862;FranklinCovey Business School
2022;22866;Faculdade Associada Brasil - EAD
2022;22939;Faculdade de Tecnologia de Araraquara
2022;22985;Faculdade Trilógica Nossa Senhora de Todos os Povos
2022;23022;Faculdade Cetrus Sanar
2022;23038;Faculdade de Educação e Tecnologia do Espírito Santo
2022;23096;FACULDADE SANTO ANTÔNIO - SJC
2023;23118;IBPTECH FACULDADE DE CIÊNCIAS FORENSES E TECNOLOGIA
2022;23147;Faculdade do Comércio de São Paulo
2023;23181;FACULDADE INTERCONTINENTAL
2022;23194;Faculdade PSICOLOG
2022;23215;FACULDADE DO ESTADO DE SÃO PAULO
2022;23228;Faculdade São Judas de Guarulhos
2022;23235;Instituto Universitário São Judas de Guarulhos
2022;23236;Escola Superior São Judas de Guarulhos
2022;23241;Instituto Universitário São Judas de São Bernardo do Campo
2022;23242;Escola Superior São Judas de São Bernardo do Campo
2022;23261;Faculdade São Judas de São Bernardo do Campo
2022;23335;Faculdade Embu das Artes
2023;23381;FACULDADE DE GOVERNANÇA, ENGENHARIA E EDUCAÇÃO DE SÃO PAULO
2022;23394;Faculdade de Engenharia e Administração Paulista
2023;23409;FACULDADE UNICESP
2022;23438;Faculdade de Tecnologia de Araras
2022;23455;Faculdade Integrada Instituto Souza
2022;23459;Faculdade de Tecnologia de Adamantina
2022;23700;Faculdade de Tecnologia de Ferraz de Vasconcelos
2022;23705;FACULDADE DE TECNOLOGIA DE FRANCO DA ROCHA
2023;23723;FACULDADE VOLPE MIELE
2023;23820;Faculdade Dunamis
2022;23867;Faculdade de Tecnologia de Sumaré
2022;23868;Link School of Business
2022;23893;Faculdade Anhanguera de Itapetininga
2023;23912;FACULDADE SINPAIN
2022;24024;Centro de Ensino Superior de Lorena
2022;24025;Centro de Ensino Superior de Serra Dourada
2022;24026;Instituto de Serra Dourada
2022;24046;Faculdade da Associação Médica Paulista
2022;24066;Faculdade Cristã da Cidade
2022;24074;Faculdade de Gestão, Educação e de Saúde
2022;24168;Faculdade Unida de São Paulo
2023;24196;FACULDADE CLEBER LEITE - EAD
2023;24245;FACULDADE QUALITTAS - EAD
2022;24275;Faculdade Unificada do Estado de São Paulo
2022;24300;Faculdade Unida de São Paulo - EAD
2022;24462;CENTRO DE EDUCAÇÃO TECNOLÓGICO DA FUNDAÇÃO INDAIATUBANA DE EDUCAÇÃO E CULTURA
2023;24507;Escola de Ensino Superior da Fipe
2022;24525;ILUM ESCOLA DE CIÊNCIA
2023;24672;Faculdade de Tecnologia de Matão Luiz Marchesan
2023;24709;Instituto Racine de Educação Superior
2022;24864;INSTITUTO DE EDUCAÇÃO SUPERIOR E INOVAÇÃO INVENIO
2022;24881;Faculdade Filadelfia de Tecnologia
2023;25181;FACULDADE ALPHAVILLE
2023;25412;Faculdade Metropolitana de Franca
2023;25425;FACULDADE TELOS DE CAMPINAS
2023;25445;Escola Superior do Ar
2023;25451;Faculdade Prepara
2023;25474;Faculdade Microlins
2023;25576;Faculdade TERZIUS
2023;26400;Faculdade Batista Logos
2023;27029;Faculdade São Leopoldo Mandic de Limeira
2023;28985;Faculdade de Tecnologia de Registro
2023;28986;Faculdade de Tecnologia de Barretos
2023;28988;Faculdade de Tecnologia de Votorantim
