linha,nome,operadora,data_pesquisa,faixa_horaria,passageiros,partidas,passageiros_viagem,tempo_viagem_min
224,Linha 33 (Gasparini/Vanuire-Centro) PF1-PF2,Cidade Sem Limites,11/04/2013,15,16,2,8.0,32
225,Linha 33 (Gasparini/Vanuire-Centro) PF1-PF2,Cidade Sem Limites,11/04/2013,16,24,3,8.0,26
226,Linha 33 (Gasparini/Vanuire-Centro) PF1-PF2,Cidade Sem Limites,11/04/2013,17,17,2,8.5,26
227,Linha 33 (Gasparini/Vanuire-Centro) PF1-PF2,Cidade Sem Limites,11/04/2013,18,36,2,18.0,29
228,Linha 33 (Gasparini/Vanuire-Centro) PF1-PF2,Cidade Sem Limites,11/04/2013,19,26,2,13.0,30
229,Linha 33 (Gasparini/Vanuire-Centro) PF1-PF2,Cidade Sem Limites,11/04/2013,20,47,3,15.7,33
230,Linha 33 (Gasparini/Vanuire-Centro) PF1-PF2,Cidade Sem Limites,11/04/2013,21,18,2,9.0,30
231,Linha 33 (Gasparini/Vanuire-Centro) PF1-PF2,Cidade Sem Limites,11/04/2013,22,21,3,7.0,29
232,Linha 33 (Gasparini/Vanuire-Centro) PF2-PF1,Cidade Sem Limites,11/04/2013,6,46,2,23.0,34
233,Linha 33 (Gasparini/Vanuire-Centro) PF2-PF1,Cidade Sem Limites,11/04/2013,7,32,3,10.7,32
234,Linha 33 (Gasparini/Vanuire-Centro) PF2-PF1,Cidade Sem Limites,11/04/2013,8,22,3,7.3,37
235,Linha 33 (Gasparini/Vanuire-Centro) PF2-PF1,Cidade Sem Limites,11/04/2013,9,26,2,13.0,32
236,Linha 33 (Gasparini/Vanuire-Centro) PF2-PF1,Cidade Sem Limites,11/04/2013,10,29,2,14.5,33
237,Linha 33 (Gasparini/Vanuire-Centro) PF2-PF1,Cidade Sem Limites,11/04/2013,11,31,2,15.5,38
238,Linha 33 (Gasparini/Vanuire-Centro) PF2-PF1,Cidade Sem Limites,11/04/2013,12,96,2,48.0,48
239,Linha 33 (Gasparini/Vanuire-Centro) PF2-PF1,Cidade Sem Limites,11/04/2013,13,70,3,23.3,34
240,Linha 33 (Gasparini/Vanuire-Centro) PF2-PF1,Cidade Sem Limites,11/04/2013,14,38,2,19.0,37
241,Linha 33 (Gasparini/Vanuire-Centro) PF2-PF1,Cidade Sem Limites,11/04/2013,15,112,3,37.3,40
242,Linha 33 (Gasparini/Vanuire-Centro) PF2-PF1,Cidade Sem Limites,11/04/2013,16,124,3,41.3,40
243,Linha 33 (Gasparini/Vanuire-Centro) PF2-PF1,Cidade Sem Limites,11/04/2013,17,202,4,50.5,42
244,Linha 33 (Gasparini/Vanuire-Centro) PF2-PF1,Cidade Sem Limites,11/04/2013,18,130,3,43.3,35
245,Linha 33 (Gasparini/Vanuire-Centro) PF2-PF1,Cidade Sem Limites,11/04/2013,19,50,3,16.7,32
246,Linha 33 (Gasparini/Vanuire-Centro) PF2-PF1,Cidade Sem Limites,11/04/2013,20,34,2,17.0,32
247,Linha 33 (Gasparini/Vanuire-Centro) PF2-PF1,Cidade Sem Limites,11/04/2013,21,36,3,12.0,31
248,Linha 33 (Gasparini/Vanuire-Centro) PF2-PF1,Cidade Sem Limites,11/04/2013,22,26,2,13.0,32
249,Linha 33 (Gasparini/Vanuire-Centro) PF2-PF1,Cidade Sem Limites,11/04/2013,23,12,2,6.0,28
250,Linha 33A (Via Av. Moussa Tobias) PF2-PF1,,,,6,27,1,27.0,33
251,Linha 33A (Via Av. Moussa Tobias) PF2-PF1,,,,7,23,2,11.5,33
252,Linha 33A (Via Av. Moussa Tobias) PF2-PF1,,,,12,31,1,31.0,30
253,Linha 33A (Via Av. Moussa Tobias) PF2-PF1,,,,17,124,2,62.0,45
254,Linha 33A (Via Av. Moussa Tobias) PF2-PF1,,,,18,116,2,58.0,37
255,Linha 46 (Mary Dota-Centro) PF1-PF2,Grande Bauru,3/04/2013,6,190,5,38.0,32
256,Linha 46 (Mary Dota-Centro) PF1-PF2,Grande Bauru,3/04/2013,7,111,3,37.0,35
257,Linha 46 (Mary Dota-Centro) PF1-PF2,Grande Bauru,3/04/2013,8,65,3,21.7,29
258,Linha 46 (Mary Dota-Centro) PF1-PF2,Grande Bauru,3/04/2013,9,39,3,13.0,28
259,Linha 46 (Mary Dota-Centro) PF1-PF2,Grande Bauru,3/04/2013,10,51,3,17.0,29
260,Linha 46 (Mary Dota-Centro) PF1-PF2,Grande Bauru,3/04/2013,11,46,2,23.0,31
261,Linha 46 (Mary Dota-Centro) PF1-PF2,Grande Bauru,3/04/2013,12,26,1,26.0,32
262,Linha 46 (Mary Dota-Centro) PF1-PF2,Grande Bauru,3/04/2013,13,85,3,28.3,33
263,Linha 46 (Mary Dota-Centro) PF1-PF2,Grande Bauru,3/04/2013,14,28,2,14.0,31
264,Linha 46 (Mary Dota-Centro) PF1-PF2,Grande Bauru,3/04/2013,15,39,2,19.5,32
265,Linha 46 (Mary Dota-Centro) PF1-PF2,Grande Bauru,3/04/2013,16,36,2,18.0,32
266,Linha 46 (Mary Dota-Centro) PF1-PF2,Grande Bauru,3/04/2013,17,71,3,23.7,34
267,Linha 46 (Mary Dota-Centro) PF1-PF2,Grande Bauru,3/04/2013,18,29,2,14.5,32
268,Linha 46 (Mary Dota-Centro) PF1-PF2,Grande Bauru,3/04/2013,19,19,4,4.8,25
269,Linha 46 (Mary Dota-Centro) PF1-PF2,Grande Bauru,3/04/2013,20,3,1,3.0,25
270,Linha 46 (Mary Dota-Centro) PF1-PF2,Grande Bauru,3/04/2013,21,4,1,4.0,28
271,Linha 46 (Mary Dota-Centro) PF1-PF2,Grande Bauru,3/04/2013,22,6,1,6.0,35
